@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C17-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute rawx numeric
@attribute rawy numeric
@attribute rawz numeric
@attribute accx numeric
@attribute accy numeric
@attribute accz numeric
@attribute rot1 numeric
@attribute rot2 numeric
@attribute rot3 numeric
@attribute rot4 numeric
@attribute azimuth numeric
@attribute pitch numeric
@attribute roll numeric
@attribute OnOff {0,1,2}
@attribute CutoffFreq numeric
@attribute Gain numeric
@attribute Q numeric
@attribute Vol numeric

@data
1,'2020/07/01 16:59:16:508',1,0.047882,0.031128,10.113113,-0.000219,-0.000111,-0.000407,0.002222,0.000766,0.988301,0.152496,161.450912,0.115318,0.245876,1,?,?,?,?
2,'2020/07/01 16:59:16:671',1,0.050278,0.016754,10.103531,-0.000219,-0.000111,-0.000407,0.002334,0.000705,0.988282,0.152617,160.833298,0.129075,0.246355,1,?,?,?,?
3,'2020/07/01 16:59:16:851',1,0.047882,0.023941,10.115509,0.001568,0.001315,-0.002826,0.00239,0.000664,0.988273,0.152676,160.833298,0.129075,0.246355,1,?,?,?,?
4,'2020/07/01 16:59:17:075',1,0.045486,0.009583,10.125076,0.001444,0.000377,-0.000288,0.002256,0.0006,0.9883,0.152504,163.565231,0.116995,0.259102,1,?,?,?,?
106,'2020/07/01 17:09:04:646',7,23.218964,2.645599,10.357315,-2.736403,-0.205397,0.012846,-0.016902,0.005129,0.976523,0.214689,162.351059,0.150335,0.17421,2,?,?,?,?
107,'2020/07/01 17:09:04:800',7,-23.257278,-5.92804,10.163391,-2.736403,-0.205397,0.012846,0.002115,0.000218,0.996494,0.083638,162.161224,0.275205,2.162833,2,?,?,?,?
112,'2020/07/01 17:09:05:271',7,-21.060989,-4.852249,10.160202,-2.772017,-0.324139,0.009994,-0.063525,0.006863,0.996071,0.061327,173.685898,0.261901,8.999297,2,?,?,?,?
113,'2020/07/01 17:09:05:344',7,22.160736,1.675949,10.263153,-2.772017,-0.324139,0.009994,-0.070483,-0.002758,0.987343,0.142048,171.736893,1.790397,5.965908,2,?,?,?,?
120,'2020/07/01 17:09:06:093',7,0.062256,0.025543,10.14183,2.687296,0.384846,0.000998,-0.053685,-0.014405,0.997822,0.035526,172.228424,2.031038,6.284174,2,?,?,?,?
121,'2020/07/01 17:09:06:158',7,0.074219,0.028732,10.136261,2.687296,0.384846,0.000998,-0.051825,-0.01378,0.997868,0.037212,178.505508,1.831213,5.985285,2,?,?,?,?
171,'2020/07/01 18:12:51:052',14,0.007187,-8.935165,3.988739,0.015442,-0.006223,-0.015691,-0.077463,-0.538577,0.830463,0.11944,163.60675,65.942429,0.181567,?,?,?,?,?
172,'2020/07/01 18:12:51:163',14,0.009583,-8.942337,3.981552,0.015442,-0.006223,-0.015691,-0.077614,-0.53948,0.829816,0.11976,163.60675,65.942429,0.181567,?,?,?,?,?
180,'2020/07/01 18:12:52:053',14,-0.007187,-8.95192,3.960007,-0.000831,0.018396,0.050282,-0.08446,-0.538263,0.828391,0.13003,163.653595,66.162163,0.021385,?,?,?,?,?
181,'2020/07/01 18:12:52:153',14,-0.01915,-8.937561,4.003113,-0.000831,0.018396,0.050282,-0.084445,-0.537139,0.829215,0.129435,163.653595,66.162163,0.021385,?,?,?,?,?
182,'2020/07/01 18:12:52:255',14,-0.009583,-8.947128,3.981552,0.008364,-0.008065,-0.022386,-0.084007,-0.537942,0.82891,0.128334,161.452026,65.915039,0.169151,?,?,?,?,?
183,'2020/07/01 18:12:52:356',14,-0.007187,-8.935165,3.986343,0.008364,-0.008065,-0.022386,-0.084402,-0.53767,0.828903,0.129256,161.452026,65.915039,0.169151,?,?,?,?,?
184,'2020/07/01 18:12:52:457',14,-0.004791,-8.93277,4.019867,-0.005085,-0.004593,-0.005539,-0.084562,-0.536662,0.829489,0.129583,161.387741,65.94738,0.130447,?,?,?,?,?
196,'2020/07/01 18:17:45:712',15,-16.658859,-4.165909,10.216064,-2.768575,-1.575519,0.076438,0.013035,-0.001335,0.991913,0.126244,162.292572,0.525781,2.403929,2,?,?,?,?
197,'2020/07/01 18:17:45:719',15,7.266403,-0.464478,10.314224,-2.768575,-1.575519,0.076438,-0.022857,0.007485,0.97808,0.206835,156.664063,0.036781,1.501138,2,?,?,?,?
320,'2020/07/02 18:12:54:473',19,-11.450668,-2.856277,10.017334,3.842263,-0.541595,-0.008888,-0.019034,0.00188,0.997122,0.073367,172.962601,0.582461,2.254634,2,?,?,?,?
321,'2020/07/02 18:12:54:664',19,3.692657,0.65921,10.203293,-7.609554,-0.632411,0.014673,-0.00719,-0.008118,0.990399,0.137809,168.812027,0.054801,2.191143,2,?,?,?,?
322,'2020/07/02 18:12:54:764',19,4.177887,-4.708588,10.129868,-7.609554,-0.632411,0.014673,0.041315,0.000172,-0.996226,0.076328,172.320847,0.323972,5.456231,2,?,?,?,?
323,'2020/07/02 18:12:54:870',19,-4.394958,-2.508331,9.959885,-5.308108,-1.088556,0.073048,-0.006625,-0.013561,0.991349,0.130384,172.320847,0.323972,5.456231,2,?,?,?,?
324,'2020/07/02 18:12:54:965',19,15.764221,-2.889008,10.164185,-5.308108,-1.088556,0.073048,-0.041253,-0.005228,0.999133,0.002181,177.028229,1.293052,2.671228,2,?,?,?,?
325,'2020/07/02 18:12:55:066',19,-18.606934,-2.875443,10.121887,-3.398854,-0.841302,-0.011059,-0.015999,-0.012289,0.997618,0.065971,177.028229,1.293052,2.671228,2,?,?,?,?
326,'2020/07/02 18:12:55:169',19,7.91922,2.050232,10.274323,-3.398854,-0.841302,-0.011059,-0.020915,-0.014561,0.990829,0.132697,174.436081,1.525969,1.737006,2,?,?,?,?
327,'2020/07/02 18:12:55:266',19,22.233353,-3.501114,9.998184,4.616077,-1.583683,-0.028299,0.037115,0.007779,-0.998166,0.047179,174.436081,1.525969,1.737006,2,?,?,?,?
328,'2020/07/02 18:12:55:368',19,-16.649277,-5.232132,10.004578,4.616077,-1.583683,-0.028299,-0.012414,-0.018408,0.996412,0.081671,175.387207,0.689169,4.291619,2,?,?,?,?
329,'2020/07/02 18:12:55:471',19,3.456436,1.544266,10.194519,6.052181,-2.531373,-0.086035,-0.048869,-0.011279,0.998671,0.011855,175.387207,0.689169,4.291619,2,?,?,?,?
330,'2020/07/02 18:12:55:571',19,0.037506,-0.624084,10.171371,6.052181,-2.531373,-0.086035,-0.027534,-0.013594,0.999207,0.025331,172.91925,1.433629,4.469281,2,?,?,?,?
331,'2020/07/02 18:12:55:673',19,0.075012,-0.108536,10.081177,-5.552189,0.782274,0.081992,-0.022357,-0.013587,0.999176,0.031017,172.91925,1.433629,4.469281,2,?,?,?,?
332,'2020/07/02 18:12:55:773',19,0.077408,0.040695,10.116302,-5.552189,0.782274,0.081992,-0.021419,-0.013083,0.999171,0.032062,176.616898,1.607588,2.456254,2,?,?,?,?
338,'2020/07/02 18:15:40:732',20,0.076614,0.021545,10.117889,-0.00038,-0.002158,-0.000108,0.003784,0.001177,0.995375,0.095988,169.174301,0.1812,0.418542,1,?,?,?,?
339,'2020/07/02 18:15:40:840',20,0.076614,0.028732,10.120285,-0.00038,-0.002158,-0.000108,0.003789,0.001242,0.995373,0.096003,169.174301,0.1812,0.418542,1,?,?,?,?
340,'2020/07/02 18:15:40:951',20,0.074219,0.023941,10.127472,0.002397,-0.000125,0.001527,0.003783,0.001273,0.995373,0.095999,168.393066,0.183387,0.41856,1,?,?,?,?
341,'2020/07/02 18:15:41:137',20,0.069427,0.043091,10.125076,0.002397,-0.000125,0.001527,0.00375,0.001326,0.995377,0.095964,168.957687,0.187152,0.412463,1,?,?,?,?
342,'2020/07/02 18:15:41:312',20,0.071823,0.043091,10.110718,-0.001219,0.001821,0.002612,0.003735,0.001372,0.995378,0.09595,168.957687,0.187152,0.412463,1,?,?,?,?
355,'2020/07/02 18:17:18:778',22,9.527328,0.062256,2.051834,0.009902,-0.001817,-0.049463,0.628086,0.003128,0.778137,0.000786,179.14801,0.336712,77.978378,?,?,?,?,?
356,'2020/07/02 18:17:18:815',22,9.522537,0.061447,2.070984,0.009902,-0.001817,-0.049463,0.627495,0.00336,0.778613,0.000593,177.746033,0.338955,77.778572,?,?,?,?,?
357,'2020/07/02 18:17:18:993',22,9.51535,0.055069,2.06221,0.006507,0.00357,-0.01826,0.626934,0.003538,0.779065,0.000314,177.746033,0.338955,77.778572,?,?,?,?,?
358,'2020/07/02 18:17:19:032',22,9.516953,0.063049,2.110886,0.006507,0.00357,-0.01826,-0.625689,-0.003942,-0.780062,0.000314,179.321869,0.330009,77.581367,?,?,?,?,?
359,'2020/07/02 18:17:19:206',22,9.514557,0.055862,2.119659,0.00093,-0.002222,-0.002212,-0.625402,-0.004186,-0.780291,0.000623,179.321869,0.330009,77.581367,?,?,?,?,?
360,'2020/07/02 18:17:19:251',22,9.502579,0.061447,2.135635,0.00093,-0.002222,-0.002212,-0.625265,-0.003916,-0.780403,0.000488,179.99881,0.32969,77.425232,?,?,?,?,?
361,'2020/07/02 18:17:19:515',22,9.508163,0.058258,2.130844,-0.000387,0.000831,0.000916,-0.625006,-0.004191,-0.780608,0.000713,179.404999,0.323813,77.367134,?,?,?,?,?
362,'2020/07/02 18:17:19:522',22,9.516953,0.052673,2.145996,-0.000387,0.000831,0.000916,-0.624985,-0.003878,-0.780627,0.000379,179.404999,0.323813,77.367134,?,?,?,?,?
363,'2020/07/02 18:20:58:290',23,0.057465,-0.007187,10.132263,0.002802,-0.002719,0.001217,-0.002885,-0.000385,-0.981474,0.191575,157.921295,0.016411,0.338467,?,?,?,?,?
364,'2020/07/02 18:20:58:392',23,0.057465,-0.011978,10.115509,0.002802,-0.002719,0.001217,-0.00294,-0.000259,-0.981493,0.191475,157.921295,0.016411,0.338467,?,?,?,?,?
365,'2020/07/02 18:20:58:489',23,0.05986,-0.011978,10.129868,-0.001818,-0.005609,0.001779,-0.00291,-0.000197,-0.981489,0.191497,157.921295,0.016411,0.338467,?,?,?,?,?
